site,tree_spp,dir,r,larvae,leaves,x,y
A3,BO,SW,20,0,1,-14.142135623731,-14.142135623731
A3,BO,SE,5,13,145,3.53553390593274,-3.53553390593274
A3,BO,SE,10,4,181,7.07106781186548,-7.07106781186548
A3,BO,SE,15,3,137,10.6066017177982,-10.6066017177982
A3,BO,SE,20,5,187,14.142135623731,-14.142135623731
A3,BO,SE,25,0,1,17.6776695296637,-17.6776695296637
A3,BO,E,5,16,100,5,0
A3,BO,E,10,8,98,10,0
A3,BO,E,15,8,134,15,0
A3,BO,E,20,9,146,20,0
A3,BO,E,25,8,149,25,0
A3,BO,E,30,2,138,30,0
A3,BO,E,35,0,1,35,0
A3,BO,ENE,5,10,163,4.6,1.9
A3,BO,ENE,10,18,170,9.24,3.83
A3,BO,ENE,15,20,167,13.9,5.74
A3,BO,ENE,20,7,146,18.5,7.65
A3,BO,ENE,30,2,162,27.72,11.5
A3,BO,ENE,35,4,126,32.32,13.4
A3,BO,ENE,40,1,143,36.92,15.3
A3,BO,ENE,45,0,1,41.52,17.2
A3,WO,CENTER,0,13,209,0,0
A3,WO,N,10,10,188,0,10
A3,WO,NE,20,8,162,14.142135623731,14.142135623731
A3,WO,NE,25,9,175,17.6776695296637,17.6776695296637
A3,WO,NE,35,6,142,24.7487373415292,24.7487373415292
A3,WO,NNE,20,5,190,7.65,18.5
A3,WO,E,30,5,262,30,0
